대학코드,국가,대학명,파견구분,협정형태,NUM_VISITS,BERT_SUM,RNN_SUM,BERT_AVG,RNN_AVG,BERT_PLUS_RNN_SCORE,COLLEGE_LINK
US000044,UNITED STATES,Chapman University,교환학생,ISEP,2.0,1.0,1.2230240106582642,0.5,0.6115120053291321,0.5334536015987396,http://oia.yonsei.ac.kr/partner/expReport.asp?ucode=US000044&bgbn=A
US000045,UNITED STATES,Christopher Newport University,교환학생,교환대학,6.0,5.0,3.0474332869052887,0.8333333333333334,0.5079055478175482,0.7357049976785979,http://oia.yonsei.ac.kr/partner/expReport.asp?ucode=US000045&bgbn=A
US000047,UNITED STATES,Clarion University of Pennsylvania,교환학생,ISEP,1.0,1.0,0.8672452569007874,1.0,0.8672452569007874,0.9601735770702362,http://oia.yonsei.ac.kr/partner/expReport.asp?ucode=US000047&bgbn=A
US000048,UNITED STATES,Clemson University,교환학생,ISEP,1.0,1.0,0.41385263204574585,1.0,0.41385263204574585,0.8241557896137237,http://oia.yonsei.ac.kr/partner/expReport.asp?ucode=US000048&bgbn=A
US000293,UNITED STATES,Colgate University,,교환대학,2.0,2.0,1.4079031944274902,1.0,0.7039515972137451,0.9111854791641235,http://oia.yonsei.ac.kr/partner/expReport.asp?ucode=US000293&bgbn=A
US000049,UNITED STATES,College of Charleston,교환학생,교환대학,2.0,2.0,1.252388060092926,1.0,0.626194030046463,0.8878582090139389,http://oia.yonsei.ac.kr/partner/expReport.asp?ucode=US000049&bgbn=A
US000050,UNITED STATES,College of the Ozarks,교환학생,교환대학,5.0,5.0,2.463590621948242,1.0,0.49271812438964846,0.8478154373168945,http://oia.yonsei.ac.kr/partner/expReport.asp?ucode=US000050&bgbn=A
US000051,UNITED STATES,College of William & Mary,교환학생,교환대학,29.0,26.0,18.822402387857437,0.896551724137931,0.6490483582019806,0.8223007143571458,http://oia.yonsei.ac.kr/partner/expReport.asp?ucode=US000051&bgbn=A
US000052,UNITED STATES,Colorado State University,방문학생SAP(정규),SAF,,,,,,,http://oia.yonsei.ac.kr/partner/expReport.asp?ucode=US000052&bgbn=A
US000053,UNITED STATES,Columbia University,방문학생SAP(정규),SAF,2.0,2.0,1.4344192743301392,1.0,0.7172096371650696,0.9151628911495209,http://oia.yonsei.ac.kr/partner/expReport.asp?ucode=US000053&bgbn=A
US000054,UNITED STATES,Columbus State University,교환학생,ISEP,,,,,,,http://oia.yonsei.ac.kr/partner/expReport.asp?ucode=US000054&bgbn=A
US000055,UNITED STATES,Cornell College,교환학생,교환대학,10.0,10.0,5.366041302680969,1.0,0.536604130268097,0.860981239080429,http://oia.yonsei.ac.kr/partner/expReport.asp?ucode=US000055&bgbn=A
US000294,UNITED STATES,Cornell University,교환학생,교환대학,,,,,,,http://oia.yonsei.ac.kr/partner/expReport.asp?ucode=US000294&bgbn=A
US000056,UNITED STATES,Creighton University,교환학생,ISEP,3.0,3.0,1.604321151971817,1.0,0.534773717323939,0.8604321151971817,http://oia.yonsei.ac.kr/partner/expReport.asp?ucode=US000056&bgbn=A
US000039,UNITED STATES,CSU Bakersfield,교환학생,교환대학ISEP,,,,,,,http://oia.yonsei.ac.kr/partner/expReport.asp?ucode=US000039&bgbn=A
US000023,UNITED STATES,CSU Channel Islands,교환학생,교환대학,,,,,,,http://oia.yonsei.ac.kr/partner/expReport.asp?ucode=US000023&bgbn=A
US000022,UNITED STATES,CSU Chico,교환학생,교환대학,21.0,19.0,16.284026086330414,0.9047619047619048,0.7754298136347816,0.8659622774237677,http://oia.yonsei.ac.kr/partner/expReport.asp?ucode=US000022&bgbn=A
US000024,UNITED STATES,CSU Dominguez Hills,교환학생,교환대학,4.0,4.0,2.885121464729309,1.0,0.7212803661823273,0.9163841098546981,http://oia.yonsei.ac.kr/partner/expReport.asp?ucode=US000024&bgbn=A
US000025,UNITED STATES,CSU East Bay,교환학생,교환대학,5.0,3.0,3.471164107322693,0.6,0.6942328214645386,0.6282698464393616,http://oia.yonsei.ac.kr/partner/expReport.asp?ucode=US000025&bgbn=A
US000026,UNITED STATES,CSU Fresno,교환학생,교환대학,3.0,2.0,2.242579400539398,0.6666666666666666,0.7475264668464661,0.6909246067206064,http://oia.yonsei.ac.kr/partner/expReport.asp?ucode=US000026&bgbn=A
US000034,UNITED STATES,CSU Fullerton,교환학생,교환대학,22.0,15.0,16.18995040655136,0.6818181818181818,0.7359068366614255,0.6980447782711549,http://oia.yonsei.ac.kr/partner/expReport.asp?ucode=US000034&bgbn=A
US000019,UNITED STATES,CSU Long Beach,교환학생,교환대학,83.0,59.0,55.6165811419487,0.7108433734939759,0.6700792908668518,0.6986141487058386,http://oia.yonsei.ac.kr/partner/expReport.asp?ucode=US000019&bgbn=A
US000021,UNITED STATES,CSU Los Angeles,교환학생,교환대학,8.0,4.0,5.0263287127017975,0.5,0.6282910890877247,0.5384873267263174,http://oia.yonsei.ac.kr/partner/expReport.asp?ucode=US000021&bgbn=A
US000027,UNITED STATES,CSU Maritime Academy,교환학생,교환대학,,,,,,,http://oia.yonsei.ac.kr/partner/expReport.asp?ucode=US000027&bgbn=A
US000036,UNITED STATES,CSU Monterey Bay,교환학생,교환대학,1.0,0.0,0.7314323186874391,0.0,0.7314323186874391,0.2194296956062317,http://oia.yonsei.ac.kr/partner/expReport.asp?ucode=US000036&bgbn=A
US000028,UNITED STATES,CSU Northridge,교환학생,교환대학,13.0,9.0,9.507431983947754,0.6923076923076923,0.731340921842135,0.704017661168025,http://oia.yonsei.ac.kr/partner/expReport.asp?ucode=US000028&bgbn=A
US000030,UNITED STATES,CSU Sacramento,교환학생,교환대학,23.0,17.0,16.90411227941513,0.7391304347826086,0.7349614034528318,0.7378797253836755,http://oia.yonsei.ac.kr/partner/expReport.asp?ucode=US000030&bgbn=A
US000031,UNITED STATES,CSU San Bernardino,교환학생,교환대학,,,,,,,http://oia.yonsei.ac.kr/partner/expReport.asp?ucode=US000031&bgbn=A
US000032,UNITED STATES,CSU San Marcos,교환학생,교환대학,3.0,1.0,2.041482925415039,0.3333333333333333,0.6804943084716797,0.4374816258748372,http://oia.yonsei.ac.kr/partner/expReport.asp?ucode=US000032&bgbn=A
US000033,UNITED STATES,CSU Stanislaus,교환학생,교환대학,1.0,1.0,0.9434523582458496,1.0,0.9434523582458496,0.9830357074737548,http://oia.yonsei.ac.kr/partner/expReport.asp?ucode=US000033&bgbn=A
US000046,UNITED STATES,CUNY - Baruch College,교환학생,교환대학,69.0,55.0,47.05959141254425,0.7971014492753623,0.6820230639499166,0.7625779336777285,http://oia.yonsei.ac.kr/partner/expReport.asp?ucode=US000046&bgbn=A
US000057,UNITED STATES,Dartmouth College,,교환대학,14.0,12.0,7.967277646064758,0.8571428571428571,0.569091260433197,0.7707273781299591,http://oia.yonsei.ac.kr/partner/expReport.asp?ucode=US000057&bgbn=A
US000058,UNITED STATES,Dickinson College,교환학생,교환대학,21.0,18.0,14.295178353786469,0.8571428571428571,0.6807227787517366,0.804216833625521,http://oia.yonsei.ac.kr/partner/expReport.asp?ucode=US000058&bgbn=A
