,__,êµ,__,__,ê²½ë_
376,San Diego State University, USA, CA 92182,32.7759894,-117.0712533
377,San Francisco State University, USA, CA 94132,37.7241492,-122.4799405
378,San Jose State University, USA, CA 95192,37.3351874,-121.8810715
379,Southern Illinois University-Carbondale, USA, IL 62901,37.7079717,-89.2229983
380,Southwestern University, USA, TX 78626,30.6367076,-97.6625885
381,St. Cloud State University, USA, MN 56301,45.5511864,-94.1515137
382,St. Joseph's College of Maine, USA, ME 04084,43.8267427,-70.4828684
383,St. Lawrence University, USA, NY 13617,44.5892119,-75.1608814
384,St. Michael's College, USA, VT 05439,44.49598,-73.163743
385,St. Olaf College, USA, MN 55057,44.4616634,-93.1826784
386,Suffolk University - Sawyer School of Management, USA, MA 02108,42.3578231,-71.0610172
387,SUNY at Albany, USA, NY 12222,42.6849814,-73.824773
388,SUNY at Stony Brook, USA, NY 11794,40.9123761,-73.1233889
389,Syracuse University, USA, NY,43.0391534,-76.1351158
390,Temple University, USA, PA 19122,39.9805942,-75.1557376
391,The University of Scranton, USA, PA 18510,41.406663,-75.6586032
392,Thunderbird School of Global Management, USA, AZ 85004,33.4517623,-112.0686424
393,Towson University, USA, MD 21252,39.3925121,-76.6126392
394,Trinity University, USA, TX 78212,29.4618396,-98.4833121
395,Truman State University, USA, MO 63501,40.1831629,-92.5809621
396,"Tufts University, The Fletcher School", USA, MA 02155,42.407843,-71.1216062
397,Union College, USA, NY 12308,42.8177125,-73.9295987
398,University of Akron, USA, OH 44325,41.0770227,-81.5114462
399,University of Alabama, USA, AL 35487,33.2140233,-87.5391418
400,University of Arkansas, USA, AR 72701,36.0686895,-94.1748471
401,University of California Berkeley, USA, CA,37.8718992,-122.2585399
402,University of California Davis, USA, CA 95616,38.5382322,-121.7617125
403,University of California Irvine, USA, CA 92697,33.6404952,-117.8442962
404,University of California Los Angeles, USA, CA 90095,34.068921,-118.4451811
405,University of California Merced, USA, CA 95343,37.3660652,-120.4224179
406,University of California Riverside, USA, CA 92521,33.9737055,-117.3280644
407,University of California San Diego, USA, CA 92093,32.8800604,-117.2340135
408,University of California Santa Barbara, USA, CA 93106,34.4139629,-119.848947
409,University of California Santa Cruz, USA, CA 95064,36.9880503,-122.0582093
410,University of Chicago, USA, IL 60637,41.7886079,-87.5987133
411,University of Connecticut, USA, CT 06269,41.8077414,-72.2539805
412,University of Georgia, USA, GA 30602,33.9480053,-83.3773221
413,University of Guam, Guam,96923,13.4322112,144.8033219
414,University of Hawaii at Manoa, USA, HI 96822,21.296939,-157.8171118
415,University of Illinois at Urbana-Champaign, USA, IL,40.1019523,-88.2271615
416,University of Iowa, USA, IA 52242,41.6627078,-91.5549771
417,University of Kentucky, USA, KY 40506,38.0306511,-84.5039697
418,University of Maryland at College Park, USA, MD 20742,38.9869183,-76.9425543
419,University of Massachusetts Amherst, USA, MA 01003,42.3867598,-72.5300515
420,University of Massachusetts Lowell, USA, MA 01854,42.6552587,-71.3247164
421,University of Memphis, USA, TN 38152,35.1187498,-89.9374928
422,University of Miami, USA, FL 33146,25.7178924,-80.2746368
423,University of Michigan, USA, MI 48109,42.2780436,-83.7382241
424,University of Minnesota Morris, USA, MN 56267,45.5890317,-95.8969661
425,University of Minnesota Twin Cities, USA, MN 55455,44.97399,-93.2277285
426,University of Mississippi, USA, MS 38677,34.3647324,-89.538443
427,University of Montana, USA, MT 59812,46.8600672,-113.9852081
428,University of Nebraska at Kearney, USA, NE 68849,40.7011879,-99.1014292
429,"University of Nebraska, Lincoln", USA, NE 68588,40.8201966,-96.7004763
430,University of North Carolina at Asheville, USA, NC 28804,35.6304783,-82.5510469
431,University of North Carolina at Chapel Hill, USA, NC,35.9049122,-79.0469134
432,University of North Carolina at Greensboro, USA, NC 27412,36.0689296,-79.8101975
433,University of North Carolina at Pembroke, USA, NC 28372,34.6899339,-79.2005823
434,University of North Carolina at Wilmington, USA, NC 28403,34.223874,-77.8696036
435,University of North Dakota, USA, ND 58202,47.922891,-97.0768014
436,University of Northern Colorado, USA, CO 80639,40.4032798,-104.7002313
437,University of Notre Dame, USA, IN 46556,41.7055716,-86.2353388
438,University of Oregon, USA, OR 97403,44.0448302,-123.0726055
439,University of Pennsylvania, USA, PA 19104,39.9522188,-75.1932137
440,University of Pittsburgh, USA, PA 15260,40.4443533,-79.960835
441,University of Richmond, USA, VA 23173,37.5751669,-77.5407146
442,University of South Carolina-Columbia, USA, SC 29208,33.9937575,-81.0299186
443,University of South Florida, USA, FL 33620,28.0587031,-82.4138539
444,University of Southern Indiana, USA, IN 47712,37.9582437,-87.6746938
445,University of Tennessee Knoxville, USA, TN 37996,35.9544013,-83.9294564
446,University of Texas at Arlington, USA, TX 76019,32.7291229,-97.1120914
447,University of Texas at Austin, USA, TX 78712,30.2849185,-97.7340567
448,University of the Pacific, USA, CA 95211,37.9798869,-121.3128577
449,University of Utah, USA, UT 84112,40.7649368,-111.8421021
450,University of Vermont, USA, VT 05405,44.4778528,-73.1964637
451,University of Washington, USA, WA 98195,47.6553351,-122.3035199
452,University of Wisconsin-Madison, USA, WI,43.076592,-89.4124875
453,University of Wyoming, USA, WY 82071,41.3148754,-105.5665744
454,Upper Iowa University, USA, IA 52142,42.8410079,-91.7998459
455,Utah State University, USA, UT 84322,41.745161,-111.8097425
456,Virginia Commonwealth University, USA, VA 23284,37.5483122,-77.4526805
457,Virginia Polytechnich Institute and State University, USA, VA 24061,37.2283843,-80.4234167
458,Washington and Jefferson College, USA, PA 15301,40.1706389,-80.2402969
459,Washington College, USA, MD 21620,39.2180241,-76.0692262
460,Washington State University, USA, WA,46.7319225,-117.1542121
461,Washington University in St. Louis, USA, MO 63130,38.6487895,-90.3107962
462,Wesley College, USA, DE 19901,39.163227,-75.527717
463,West Virginia Wesleyan College, USA, WV 26201,38.990005,-80.2196586
464,Western Carolina University, USA, NC 28723,35.3093802,-83.1844221
465,Western Kentucky University, USA, KY 42101,36.983537,-86.4573752
466,Western Washington University, USA, WA 98225,48.7342877,-122.4866103
467,Westminster College, USA, UT 84105,40.7322206,-111.8549815
468,Whitworth College, USA, WA 99251,47.7548728,-117.4178623
469,Wittenberg University, USA, OH 45504,39.9357509,-83.8141833
